Continuing training from epoch 19 with edge weight 3.0
E19 | Step 1270/13500 | Loss: 11.8502 | l1: 1.0854 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0305 | edge: 0.7044 | saturation: 0.0300
E19 | Step 1280/13500 | Loss: 12.1182 | l1: 1.4834 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0680 | edge: 0.5668 | saturation: 0.0000
E19 | Step 1290/13500 | Loss: 11.5182 | l1: 0.9347 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0255 | edge: 0.5579 | saturation: 0.0000
E19 | Step 1300/13500 | Loss: 12.1897 | l1: 1.4269 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0490 | edge: 0.6531 | saturation: 0.0607
E19 | Step 1310/13500 | Loss: 11.8072 | l1: 1.1120 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0268 | edge: 0.6684 | saturation: 0.0000
E19 | Step 1320/13500 | Loss: 12.5487 | l1: 1.9206 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0764 | edge: 0.5517 | saturation: 0.0000
E19 | Step 1330/13500 | Loss: 12.1917 | l1: 1.3720 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0514 | edge: 0.7435 | saturation: 0.0248
E19 | Step 1340/13500 | Loss: 11.7691 | l1: 1.1414 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0267 | edge: 0.6010 | saturation: 0.0000
E19 | Step 1350/13500 | Loss: 12.0547 | l1: 1.2975 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0520 | edge: 0.7052 | saturation: 0.0000
E19 | Step 1360/13500 | Loss: 11.4075 | l1: 0.7149 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0166 | edge: 0.6760 | saturation: 0.0000
E19 | Step 1370/13500 | Loss: 11.8496 | l1: 1.1839 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0399 | edge: 0.6258 | saturation: 0.0000
E19 | Step 1380/13500 | Loss: 11.6145 | l1: 0.9004 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0238 | edge: 0.6902 | saturation: 0.0000
E19 | Step 1390/13500 | Loss: 11.8807 | l1: 0.9320 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0234 | edge: 0.9253 | saturation: 0.0000
E19 | Step 1400/13500 | Loss: 12.3097 | l1: 1.3261 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0439 | edge: 0.9397 | saturation: 0.0000
E19 | Step 1410/13500 | Loss: 12.6094 | l1: 1.7498 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0646 | edge: 0.7949 | saturation: 0.0000
E19 | Step 1420/13500 | Loss: 12.3218 | l1: 1.4424 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0499 | edge: 0.8295 | saturation: 0.0000
E19 | Step 1430/13500 | Loss: 11.6843 | l1: 0.9344 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0238 | edge: 0.7261 | saturation: 0.0000
E19 | Step 1440/13500 | Loss: 12.6412 | l1: 1.8242 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0862 | edge: 0.7308 | saturation: 0.0000
E19 | Step 1450/13500 | Loss: 12.0970 | l1: 1.2773 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0419 | edge: 0.7778 | saturation: 0.0000
E19 | Step 1460/13500 | Loss: 11.8534 | l1: 1.1676 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0442 | edge: 0.6416 | saturation: 0.0000
